metric,direction,guidance,other 99999999 n=1
sv_window_yield,higher,steady 2-3 s windows found / windows that would fit; low = the voice cannot hold a steady state,
sv_intensity_decay_db_per_s,higher,"loudness fade across the longest token in dB PER SECOND (negative = fading). Unlike intensity_decay_db this does not scale with take length, so it is the one to compare when phonation duration varies between sessions.",
sv_analyzed_fraction,higher,"seconds measured / seconds phonated. 1.0 = the whole vowel is behind the medians; 0.4 = 60% was discarded. Read it WITH sv_discard_interior_s: losing time at the onset and offset of a long take is normal, losing it in the middle is not. Also capped by geometry - about 0.8-0.95 is the best a clean take can reach, since the edge trim and the last part-window are always dropped",
sv_window_yield_s,higher,"seconds measured / seconds the tiling COULD measure. The duration-weighted twin of sv_window_yield with the geometry divided out, so 1.0 means nothing was lost to the voice and a low value is a real steadiness finding rather than a short take",
sv_steady_frame_fraction,higher,"fraction of phonated frames on which a valid analysis window could be CENTRED, computed frame by frame with no window grid. Unaffected by take length, and defined even when no window survived, so this is the column that separates 'the voice never held still' from 'the take was too short for the usability gate'. Jitter, tremor and slow drift do NOT lower it - they are measured elsewhere",
sv_longest_steady_run_s,higher,longest uninterrupted steady stretch in seconds. 80% steady frames in one block and 80% scattered over ten islands are different findings and only this column separates them; it is also the honest upper bound on how long a window you could place,
sv_f1f2_cloud_spread_hz,lower,same as above in Hz: lower = steadier vowel,
sv_jitter_sd_across_tokens,lower,lower = more reproducible across repetitions of the same task,
sv_shimmer_sd_across_tokens,lower,lower = more reproducible across repetitions,
sv_hnr_sd_across_tokens,lower,lower = more reproducible across repetitions,
