metric,direction,guidance,speaker01_sust
sv_hnr_token_db,higher,per-interval median HNR over the whole token; same role as above,19.4708
sv_window_yield,higher,steady 2-3 s windows found / windows that would fit; low = the voice cannot hold a steady state,1
sv_intensity_decay_db_per_s,higher,"loudness fade across the longest token in dB PER SECOND (negative = fading). Unlike intensity_decay_db this does not scale with take length, so it is the one to compare when phonation duration varies between sessions.",-0.147765
sv_analyzed_fraction,higher,"seconds measured / seconds phonated. 1.0 = the whole vowel is behind the medians; 0.4 = 60% was discarded. Read it WITH sv_discard_interior_s: losing time at the onset and offset of a long take is normal, losing it in the middle is not. Also capped by geometry - about 0.8-0.95 is the best a clean take can reach, since the edge trim and the last part-window are always dropped",0.894306
sv_window_yield_s,higher,"seconds measured / seconds the tiling COULD measure. The duration-weighted twin of sv_window_yield with the geometry divided out, so 1.0 means nothing was lost to the voice and a low value is a real steadiness finding rather than a short take",1
sv_steady_frame_fraction,higher,"fraction of phonated frames on which a valid analysis window could be CENTRED, computed frame by frame with no window grid. Unaffected by take length, and defined even when no window survived, so this is the column that separates 'the voice never held still' from 'the take was too short for the usability gate'. Jitter, tremor and slow drift do NOT lower it - they are measured elsewhere",0.884239
sv_longest_steady_run_s,higher,longest uninterrupted steady stretch in seconds. 80% steady frames in one block and 80% scattered over ten islands are different findings and only this column separates them; it is also the honest upper bound on how long a window you could place,15.8063
sv_f1f2_cloud_spread_hz,lower,same as above in Hz: lower = steadier vowel,34.7
sv_jitter_sd_across_tokens,lower,lower = more reproducible across repetitions of the same task,
sv_shimmer_sd_across_tokens,lower,lower = more reproducible across repetitions,
sv_hnr_sd_across_tokens,lower,lower = more reproducible across repetitions,
"### AUDIT (73) - how it was measured, NOT measurements of the voice",,,
task_is_sustained_vowel,neutral,"1 = sustained vowel, 0 = connected speech",1
one_production_per_file,neutral,no directional guidance,1
vq_measured,higher,1 = voice-quality actually measured,1
cpps_is_praat,higher,1 = CPPS from Praat (trusted); 0 = FFT fallback (interpret cautiously),1
syllable_source_known,higher,1 = rate from KNOWN passage count (exact); 0 = estimated,
syllable_count_estimated,neutral,"envelope-based syllable estimate, kept as a cross-check on the hand-entered constant; too noisy to use as a rate on its own",
syllable_count_agreement,around,"estimate / KNOWN_PASSAGE_SYLLABLES constant; ~1.0 = the constant matches the audio, outside 0.7-1.4 means one of the two is wrong (check the constant against your passage wording)",
formant_track_ok,higher,"1 = F3 above F2 (valid track); 0 = LPC failure, F3/F4 discarded",1
formant_ceiling_hz_used,neutral,formant ceiling chosen from the speaker's F0; context only,5500
pitch_octave_repair_fraction,lower,fraction of frames corrected for octave errors; high value = check F0 range settings,0
pitch_floor_used_hz,neutral,pitch floor this file was measured with; must be IDENTICAL across sessions of one subject,77.2
pitch_ceiling_used_hz,neutral,pitch ceiling this file was measured with; must be IDENTICAL across sessions of one subject,223
silence_threshold_db_used,neutral,silence line used for segmentation (dB rel. peak),-23.2434
f0_octave_ok,higher,"1 = harmonic comb confirms the tracked F0, 0.5 = ambiguous (check by ear), 0 = octave error or inconclusive",1
f0_octave_corrected,lower,1 = the analysis range was doubled/halved by the comb check; verify this file by ear before using it,0
f0_octave_score_ref_db,higher,"odd-vs-even harmonic contrast at the tracked F0; near 0 dB = real fundamental, very negative = subharmonic",-2.14231
f0_octave_score_half_db,lower,"same contrast one octave below; near 0 dB means a full comb also fits there, i.e. the tracker doubled",-34.2304
f0_wide_median_hz,neutral,F0 an UNCONSTRAINED tracker would report; an octave below the in-range value means real subharmonic energy,131.21
sv_measured,higher,1 = steady-state perturbation measures actually obtained,1
sv_usable,higher,1 = summary rests on enough valid steady-state signal; EXCLUDE files with 0 from group statistics,1
sv_windows_usable,higher,"1 = enough steady signal to trust the WINDOW medians (CPPS, window HNR, steadiness); governs the cepstral block",1
sv_perturbation_usable,higher,1 = jitter/shimmer are additionally stable and the signal type permits cycle-based measures; governs ONLY jitter and shimmer,1
sv_signal_type,lower,"1 = nearly periodic (jitter/shimmer valid), 2 = subharmonics (unreliable), 3 = aperiodic (perturbation UNDEFINED - use cepstral/spectral measures)",1
sv_n_windows_valid,higher,steady-state windows that passed validity checks; more = a better-supported median,8
sv_n_windows_total,neutral,windows tried before validity checks; context only,16
sv_measured_total_s,higher,seconds of steady phonation behind the medians; under ~10 s treat the numbers as provisional,16
sv_n_tokens_expected,neutral,tokens implied by breath gaps + edit points + 1,1
sv_token_count_mismatch,lower,"1 = segmentation disagrees with the gap count; MPT is suspect, supply boundaries instead",0
sv_boundaries_from_file,higher,"1 = token boundaries were supplied, not inferred",0
sv_n_splices_detected,lower,edit points found inside phonation; >0 means the file is cut/concatenated - prefer analysing the original clips separately,0
sv_analysis_window_s,neutral,length of the steady-state window actually measured; sanity-check only,2
sv_rej_low_voicing,lower,windows discarded for insufficient voicing,1
sv_rej_f0_outlier,lower,windows discarded as creak/subharmonic (off the speaker's F0),0
sv_rej_f0_step,lower,windows discarded for an internal F0 discontinuity,0
sv_rej_splice,lower,windows discarded for overlapping a detected edit point,0
sv_rej_other,lower,windows discarded for other reasons (no data / unmeasurable),0
sv_analyzable_total_s,neutral,seconds the tiling geometry could measure at best (after edge trim and the part-window remainder); the denominator of sv_window_yield_s,16
sv_discard_unsteady_s,lower,seconds discarded by the validity screen: the part of the loss that is about the VOICE,0
sv_discard_edge_s,neutral,"seconds removed by the fixed onset/offset trim; a setting, not a finding",0.5
sv_discard_quantisation_s,neutral,"seconds left over because the remainder was shorter than one window; a setting, not a finding (shorten vowel_window_max_s to recover it)",1.39098
sv_discard_onset_s,lower,phonated seconds before the first measured window: onset instability plus the edge trim,1.25
sv_discard_interior_s,lower,phonated seconds discarded BETWEEN measured windows. The clearest single sign of a take that kept breaking down mid-vowel,0
sv_discard_offset_s,lower,"phonated seconds after the last measured window: offset decay, the edge trim and the part-window remainder",0.640975
sv_discard_dead_token_s,lower,seconds in tokens that yielded no measured window at all,0
sv_n_interior_gaps,lower,number of separate unmeasured gaps inside the phonation; 0 = one continuous measured block,0
sv_n_steady_stretches,lower,how many separate steady stretches the frame-level analysis found; 1 = the voice held once and kept it,1
sv_voiced_at_045,higher,voiced fraction at Praat's default voicing threshold,
sv_voiced_at_020,higher,"voiced fraction at a very permissive threshold; still low = the signal really is aperiodic, not a settings problem",
sv_voiced_low_floor,higher,voiced fraction with a 60 Hz floor; rules out the pitch range as the cause of low voicing,
sv_tremor_peak_ratio,neutral,prominence of the 2-12 Hz peak; below ~2.5 there is no measurable tremor and rate/extent are blank,4.93759
sv_f1f2_dispersion_logarea,lower,on ONE sustained vowel a SMALLER F1-F2 cloud means steadier articulation (opposite meaning to the connected-speech version of this metric),8.23821
sv_n_phonation_breaks,neutral,no directional guidance,1
sv_n_breaks_in_best_token,neutral,no directional guidance,1
sv_unbroken_start_s,neutral,no directional guidance,1.19977
sv_unbroken_end_s,neutral,no directional guidance,17.812
sv_unbroken_token_index,neutral,no directional guidance,0
sv_unbroken_energy_only_s,neutral,no directional guidance,16.6571
sv_unbroken_voicing_required,neutral,no directional guidance,1
sv_break_threshold_db,neutral,no directional guidance,-23.2522
sv_break_min_duration_s,neutral,no directional guidance,0.05
cpp_is_praat_cpps,neutral,no directional guidance,1
spectral_span_intervals,neutral,no directional guidance,1
formant_span_windows,neutral,no directional guidance,1
spectral_tilt_band_lo_hz,neutral,no directional guidance,50
spectral_tilt_band_hi_hz,neutral,no directional guidance,5000
pitch_block_from_windows,neutral,no directional guidance,1
rec_effective_bandwidth_hz,neutral,informational; low value alone does NOT mean bad voice,1485.79
rec_spectral_edge_hz,neutral,informational; where the spectrum dies,1528.86
rec_sample_rate_hz,neutral,recording property; context only,44100
rec_is_bandlimited,lower,0 = full-band (good); 1 = telephone/codec cutoff (VQ unreliable),0
rec_vq_reliable,higher,1 = voice-quality metrics trustworthy on this recording,1
rec_snr_estimable,higher,1 = a silent reference existed so SNR is real; 0 = SNR not estimable (record room tone),1
rec_digital_silence,lower,"1 = the silent reference is pasted/edited silence, so SNR describes the edit and not the recording",0
